,Unnamed: 0,index,rating,caption,middle,reviews
73,23,23,1.0,"(Translated by Google) In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …"," In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …"," In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …"
74,24,24,1.0,(Translated by Google) The path is not known But didn't call Bringing things back to the warehouse as before. …, The path is not known But didn't call Bringing things back to the warehouse as before. …, The path is not known But didn't call Bringing things back to the warehouse as before. …
75,25,26,1.0,"(Translated by Google) Delivery is terrible, call at 4: 10 minutes To come to deliver And then we get off work at 4 o'clock, sit and wait for half an hour, there is no sign, then when calling 4-5 calls to answer And when receiving, told …"," Delivery is terrible, call at 4: 10 minutes To come to deliver And then we get off work at 4 o'clock, sit and wait for half an hour, there is no sign, then when calling 4-5 calls to answer And when receiving, told …"," Delivery is terrible, call at 4: 10 minutes To come to deliver And then we get off work at 4 o'clock, sit and wait for half an hour, there is no sign, then when calling 4-5 calls to answer And when receiving, told …"
76,26,27,1.0,"(Translated by Google) The worst, delivered fresh goods in 3 days to get the item. Given the call center to follow the items, they haven't sent yet But showed up to pretend that he had sent it but couldn't contact No one contacted them. And …"," The worst, delivered fresh goods in 3 days to get the item. Given the call center to follow the items, they haven't sent yet But showed up to pretend that he had sent it but couldn't contact No one contacted them. And …"," The worst, delivered fresh goods in 3 days to get the item. Given the call center to follow the items, they haven't sent yet But showed up to pretend that he had sent it but couldn't contact No one contacted them. And …"
77,27,28,1.0,"(Translated by Google) For the first time using Best Because Shopee forced to choose Otherwise, we will not scratch. The result is very bad. Status is traveling from …"," For the first time using Best Because Shopee forced to choose Otherwise, we will not scratch. The result is very bad. Status is traveling from …"," For the first time using Best Because Shopee forced to choose Otherwise, we will not scratch. The result is very bad. Status is traveling from …"
78,28,29,1.0,"(Translated by Google) Terrible delivery matter Train some staff. Customers pay for delivery, if not ready, then close. Waste of time and feeling bad The truth should be even negative, should not give a star at all. …"," Terrible delivery matter Train some staff. Customers pay for delivery, if not ready, then close. Waste of time and feeling bad The truth should be even negative, should not give a star at all. …"," Terrible delivery matter Train some staff. Customers pay for delivery, if not ready, then close. Waste of time and feeling bad The truth should be even negative, should not give a star at all. …"
79,29,30,1.0,"(Translated by Google) Terrible thing came to this branch from 2 days ago. Showing that it came out, but failed for 2 days without giving a reason Even though there are always people waiting to receive the goods and not being contacted When …"," Terrible thing came to this branch from 2 days ago. Showing that it came out, but failed for 2 days without giving a reason Even though there are always people waiting to receive the goods and not being contacted When …"," Terrible thing came to this branch from 2 days ago. Showing that it came out, but failed for 2 days without giving a reason Even though there are always people waiting to receive the goods and not being contacted When …"
80,30,31,1.0,"(Translated by Google) Order from the 13 day, the deadline is on the 15th. Until now, he still didn't have any items. I don't know why so long Call to say that I will send as soon as possible. …"," Order from the 13 day, the deadline is on the 15th. Until now, he still didn't have any items. I don't know why so long Call to say that I will send as soon as possible. …"," Order from the 13 day, the deadline is on the 15th. Until now, he still didn't have any items. I don't know why so long Call to say that I will send as soon as possible. …"
81,31,32,1.0,"(Translated by Google) Terrible, bad service, unable to order, contacted items, shut down Didn't contact me on what day to deliver Up to the status of bringing to pay from morning Until halftime, there is no sign Reading some reviews is …"," Terrible, bad service, unable to order, contacted items, shut down Didn't contact me on what day to deliver Up to the status of bringing to pay from morning Until halftime, there is no sign Reading some reviews is …"," Terrible, bad service, unable to order, contacted items, shut down Didn't contact me on what day to deliver Up to the status of bringing to pay from morning Until halftime, there is no sign Reading some reviews is …"
82,32,33,1.0,(Translated by Google) Give a call back But didn't answer the call at all  (Original) …, Give a call back But didn't answer the call at all  (Original, Give a call back But didn't answer the call at all  
83,33,34,1.0,"(Translated by Google) Alright, alright, alright. Ee chip is lost, work is bad. Of the last 5 days, Mao didn't come Do not pick up anything for 5 days. Called the call center and said Call me back There is no …"," Alright, alright, alright. Ee chip is lost, work is bad. Of the last 5 days, Mao didn't come Do not pick up anything for 5 days. Called the call center and said Call me back There is no …"," Alright, alright, alright. Ee chip is lost, work is bad. Of the last 5 days, Mao didn't come Do not pick up anything for 5 days. Called the call center and said Call me back There is no …"
