,word,count,clean1,clean2,Sentiment
107,take,4,take,take,Neutral
108,person,4,person,person,Neutral
109,late,4,late,late,Neutral
110,oclock,4,oclock,oclock,Neutral
111,therefore,4,therefore,therefore,Neutral
112,train,3,train,train,Neutral
113,center,3,center,center,Neutral
114,leave,3,leave,leave,Negative
115,stuff,3,stuff,stuff,Neutral
116,phone,3,phone,phone,Neutral
117,im,3,im,im,Neutral
118,round,3,round,round,Neutral
119,long,3,long,long,Neutral
120,like,3,like,like,Positive
121,management,3,management,management,Neutral
122,per,3,per,per,Neutral
123,suck,3,suck,suck,Negative
124,pickled,3,pickled,pickled,Neutral
125,using,3,using,using,Neutral
126,bangkok,3,bangkok,bangkok,Neutral
127,would,3,would,would,Neutral
128,told,3,told,told,Neutral
129,follow,3,follow,follow,Neutral
130,returned,3,returned,returned,Neutral
131,pm,3,pm,pm,Neutral
132,may,3,may,may,Neutral
133,office,3,office,office,Neutral
134,turn,3,turn,turn,Neutral
135,within,3,within,within,Neutral
136,can,3,,,Neutral
137,not,3,,,Neutral
138,change,3,change,change,Neutral
139,right,3,right,right,Neutral
140,well,3,well,well,Positive
141,samut,3,samut,samut,Neutral
142,talk,3,talk,talk,Neutral
143,stuck,3,stuck,stuck,Negative
144,immediately,3,immediately,immediately,Neutral
145,please,2,please,please,Positive
146,man,2,man,man,Neutral
147,delay,2,delay,delay,Negative
148,bounced,2,bounced,bounced,Neutral
149,second,2,second,second,Neutral
150,else,2,else,else,Neutral
151,hurry,2,hurry,hurry,Neutral
152,rama,2,rama,rama,Neutral
153,online,2,online,online,Neutral
154,car,2,car,car,Neutral
155,tired,2,tired,tired,Negative
156,piece,2,piece,piece,Neutral
157,stop,2,stop,stop,Negative
158,reason,2,reason,reason,Neutral
159,way,2,way,way,Neutral
160,able,2,able,able,Neutral
161,enough,2,enough,enough,Neutral
162,due,2,due,due,Neutral
163,ive,2,ive,ive,Neutral
164,notification,2,notification,notification,Neutral
165,lost,2,lost,lost,Negative
166,ever,2,ever,ever,Neutral
167,different,2,different,different,Neutral
168,quickly,2,quickly,quickly,Neutral
169,advance,2,advance,advance,Neutral
170,lot,2,lot,lot,Neutral
171,find,2,find,find,Neutral
172,let,2,let,let,Neutral
173,delayed,2,delayed,delayed,Negative
174,pressed,2,pressed,pressed,Neutral
175,refused,2,refused,refused,Negative
176,hasnt,2,hasnt,hasnt,Neutral
177,store,2,store,store,Neutral
178,child,2,child,child,Neutral
179,blame,2,blame,blame,Negative
180,throughout,2,throughout,throughout,Neutral
181,three,2,three,three,Neutral
182,go,2,go,go,Neutral
183,claimed,2,claimed,claimed,Neutral
184,want,2,want,want,Positive
185,give,2,give,give,Neutral
186,think,2,think,think,Neutral
187,waited,2,waited,waited,Neutral
188,thung,2,thung,thung,Neutral
189,khru,2,khru,khru,Neutral
190,went,2,went,went,Neutral
191,residence,2,residence,residence,Neutral
192,going,2,going,going,Neutral
193,awful,2,awful,awful,Negative
194,intersection,2,intersection,intersection,Neutral
195,separate,2,separate,separate,Neutral
196,april,2,april,april,Neutral
197,avoided,2,avoided,avoided,Negative
198,people,2,people,people,Neutral
199,prakan,2,prakan,prakan,Neutral
200,used,2,used,used,Neutral
201,tomorrow,2,tomorrow,tomorrow,Neutral
202,something,2,something,something,Neutral
203,province,2,province,province,Neutral
204,hour,2,hour,hour,Neutral
205,despite,2,despite,despite,Neutral
206,damage,2,damage,damage,Negative
207,coming,2,coming,coming,Neutral
208,place,2,place,place,Neutral
209,put,2,put,put,Neutral
210,condition,2,condition,condition,Neutral
211,possible,2,possible,possible,Neutral
212,room,2,room,room,Neutral
213,quick,2,quick,quick,Neutral
214,notify,2,notify,notify,Neutral
215,politely,2,politely,politely,Neutral
216,afternoon,2,afternoon,afternoon,Neutral
217,app,1,app,app,Neutral
218,warehouse,1,warehouse,warehouse,Neutral
219,minute,1,minute,minute,Neutral
220,passed,1,passed,passed,Neutral
221,failed,1,failed,failed,Negative
222,allow,1,allow,allow,Positive
223,dealt,1,dealt,dealt,Neutral
224,difficulty,1,difficulty,difficulty,Negative
225,communicating,1,communicating,communicating,Neutral
226,support,1,support,support,Positive
227,sellerjust,1,sellerjust,sellerjust,Neutral
228,postcodebut,1,postcodebut,postcodebut,Neutral
229,toninjai,1,toninjai,toninjai,Neutral
230,reach,1,reach,reach,Neutral
231,hand,1,hand,hand,Positive
232,thomas,1,thomas,thomas,Neutral
233,someone,1,someone,someone,Neutral
234,master,1,master,master,Neutral
235,sign,1,sign,sign,Neutral
236,keep,1,keep,keep,Neutral
237,encountered,1,encountered,encountered,Neutral
238,failing,1,failing,failing,Negative
239,understand,1,understand,understand,Neutral
240,fail,1,fail,fail,Negative
241,hit,1,hit,hit,Neutral
242,word,1,word,word,Neutral
243,scheduled,1,scheduled,scheduled,Neutral
244,baht,1,baht,baht,Neutral
245,holiday,1,holiday,holiday,Positive
246,telling,1,telling,telling,Neutral
247,mail,1,mail,mail,Neutral
248,telegram,1,telegram,telegram,Neutral
249,carry,1,carry,carry,Neutral
250,movement,1,movement,movement,Neutral
251,nothing,1,nothing,nothing,Neutral
252,help,1,help,help,Positive
253,recommend,1,recommend,recommend,Positive
254,waste,1,waste,waste,Negative
255,name,1,name,name,Neutral
256,appropriate,1,appropriate,appropriate,Neutral
257,changing,1,changing,changing,Neutral
258,logistic,1,logistic,logistic,Neutral
259,turtle,1,turtle,turtle,Neutral
260,latest,1,latest,latest,Neutral
261,unpacked,1,unpacked,unpacked,Neutral
262,looked,1,looked,looked,Neutral
263,exactly,1,exactly,exactly,Neutral
264,see,1,see,see,Neutral
265,ninj,1,ninj,ninj,Neutral
266,kabinburi,1,kabinburi,kabinburi,Neutral
267,unsuccessful,1,unsuccessful,unsuccessful,Negative
268,requesting,1,requesting,requesting,Neutral
269,adjust,1,adjust,adjust,Neutral
270,ineffective,1,ineffective,ineffective,Negative
271,irresponsible,1,irresponsible,irresponsible,Negative
272,left,1,left,left,Neutral
273,necessary,1,necessary,necessary,Neutral
274,missing,1,missing,missing,Negative
275,relayed,1,relayed,relayed,Neutral
276,coordination,1,coordination,coordination,Neutral
277,part,1,part,part,Neutral
278,postponement,1,postponement,postponement,Neutral
279,basis,1,basis,basis,Neutral
280,ruined,1,ruined,ruined,Negative
281,soon,1,soon,soon,Neutral
282,ill,1,ill,ill,Negative
283,cancellation,1,cancellation,cancellation,Neutral
284,return,1,return,return,Neutral
285,night,1,night,night,Neutral
286,logistics,1,logistics,logistics,Neutral
287,seen,1,seen,seen,Neutral
288,according,1,according,according,Neutral
289,provider,1,provider,provider,Neutral
290,wasnt,1,wasnt,wasnt,Neutral
291,daughter,1,daughter,daughter,Neutral
292,lived,1,lived,lived,Neutral
293,money,1,money,money,Neutral
294,make,1,make,make,Neutral
295,thought,1,thought,thought,Neutral
296,wouldnt,1,wouldnt,wouldnt,Neutral
297,anymore,1,anymore,anymore,Neutral
298,saw,1,saw,saw,Neutral
299,negative,1,negative,negative,Negative
300,review,1,review,review,Neutral
301,button,1,button,button,Neutral
302,informed,1,informed,informed,Neutral
303,wasting,1,wasting,wasting,Negative
304,youre,1,youre,youre,Neutral
305,discouraged,1,discouraged,discouraged,Negative
306,rate,1,rate,rate,Neutral
307,suddenly,1,suddenly,suddenly,Neutral
308,arrange,1,arrange,arrange,Neutral
309,boring,1,boring,boring,Negative
310,far,1,far,far,Neutral
311,straight,1,straight,straight,Positive
312,doesnt,1,doesnt,doesnt,Neutral
313,fit,1,fit,fit,Positive
314,writes,1,writes,writes,Neutral
315,around,1,around,around,Neutral
316,um,1,um,um,Neutral
317,k,1,k,k,Neutral
318,bringing,1,bringing,bringing,Neutral
319,picture,1,picture,picture,Neutral
320,refuse,1,refuse,refuse,Negative
321,shouldnt,1,shouldnt,shouldnt,Neutral
322,experience,1,experience,experience,Neutral
323,crazy,1,crazy,crazy,Negative
324,complain,1,complain,complain,Negative
325,origin,1,origin,origin,Neutral
326,rain,1,rain,rain,Neutral
327,excuse,1,excuse,excuse,Positive
328,sleep,1,sleep,sleep,Neutral
329,denied,1,denied,denied,Negative
330,much,1,much,much,Neutral
331,increasingly,1,increasingly,increasingly,Neutral
332,fear,1,fear,fear,Negative
333,bouncing,1,bouncing,bouncing,Neutral
334,sat,1,sat,sat,Neutral
335,end,1,end,end,Neutral
336,honestly,1,honestly,honestly,Positive
337,close,1,close,close,Neutral
338,eat,1,eat,eat,Neutral
339,attached,1,attached,attached,Neutral
340,receiver,1,receiver,receiver,Neutral
341,ready,1,ready,ready,Positive
342,true,1,true,true,Positive
343,met,1,met,met,Neutral
344,inseparable,1,inseparable,inseparable,Neutral
345,slowest,1,slowest,slowest,Neutral
346,whole,1,whole,whole,Neutral
347,big,1,big,big,Neutral
348,courier,1,courier,courier,Neutral
349,speaking,1,speaking,speaking,Neutral
350,liar,1,liar,liar,Negative
351,recommended,1,recommended,recommended,Positive
352,china,1,china,china,Neutral
353,rajyuri,1,rajyuri,rajyuri,Neutral
354,curse,1,curse,curse,Negative
355,morning,1,morning,morning,Neutral
356,lunch,1,lunch,lunch,Neutral
357,evening,1,evening,evening,Neutral
358,horrible,1,horrible,horrible,Negative
359,without,1,without,without,Neutral
360,live,1,live,live,Neutral
361,seed,1,seed,seed,Neutral
362,pay,1,pay,pay,Negative
363,express,1,express,express,Neutral
364,thursday,1,thursday,thursday,Neutral
365,tuesday,1,tuesday,tuesday,Neutral
366,sakhon,1,sakhon,sakhon,Neutral
367,near,1,near,near,Neutral
368,dc,1,dc,dc,Neutral
369,mar,1,mar,mar,Neutral
370,earth,1,earth,earth,Neutral
371,bang,1,bang,bang,Neutral
372,pain,1,pain,pain,Negative
373,ayutthaya,1,ayutthaya,ayutthaya,Neutral
374,couldnt,1,couldnt,couldnt,Neutral
375,available,1,available,available,Neutral
376,request,1,request,request,Neutral
377,cancel,1,cancel,cancel,Negative
378,yesterday,1,yesterday,yesterday,Neutral
379,deserving,1,deserving,deserving,Neutral
380,later,1,later,later,Neutral
381,kerry,1,kerry,kerry,Neutral
382,flash,1,flash,flash,Neutral
383,thinking,1,thinking,thinking,Neutral
384,ok,1,ok,ok,Positive
385,quite,1,quite,quite,Neutral
386,work,1,work,work,Neutral
387,low,1,low,low,Negative
388,anything,1,anything,anything,Neutral
389,nakhon,1,nakhon,nakhon,Neutral
390,pathom,1,pathom,pathom,Neutral
391,took,1,took,took,Neutral
392,loca,1,loca,loca,Neutral
393,specify,1,specify,specify,Neutral
394,missed,1,missed,missed,Negative
395,added,1,added,added,Neutral
396,false,1,false,false,Neutral
397,state,1,state,state,Neutral
398,segregation,1,segregation,segregation,Neutral
399,transported,1,transported,transported,Neutral
400,adjacent,1,adjacent,adjacent,Neutral
401,appears,1,appears,appears,Neutral
402,postal,1,postal,postal,Neutral
403,lack,1,lack,lack,Negative
404,training,1,training,training,Neutral
405,try,1,try,try,Neutral
406,tracking,1,tracking,tracking,Neutral
407,faked,1,faked,faked,Neutral
408,complained,1,complained,complained,Negative
409,taken,1,taken,taken,Neutral
410,account,1,account,account,Neutral
411,shoot,1,shoot,shoot,Negative
412,residencewhat,1,residencewhat,residencewhat,Neutral
413,reserve,1,reserve,reserve,Neutral
414,notifying,1,notifying,notifying,Neutral
415,manner,1,manner,manner,Neutral
416,somehow,1,somehow,somehow,Neutral
417,constant,1,constant,constant,Neutral
418,juristic,1,juristic,juristic,Neutral
419,asked,1,asked,asked,Neutral
420,area,1,area,area,Neutral
421,sell,1,sell,sell,Neutral
422,mailbox,1,mailbox,mailbox,Neutral
423,arent,1,arent,arent,Neutral
424,understanding,1,understanding,understanding,Neutral
425,soi,1,soi,soi,Neutral
426,fang,1,fang,fang,Neutral
427,odd,1,odd,odd,Negative
428,alone,1,alone,alone,Negative
429,signed,1,signed,signed,Neutral
430,habit,1,habit,habit,Neutral
431,inaccuracy,1,inaccuracy,inaccuracy,Neutral
432,answer,1,answer,answer,Neutral
433,hold,1,hold,hold,Neutral
434,poorly,1,poorly,poorly,Neutral
435,wrinkled,1,wrinkled,wrinkled,Neutral
436,meal,1,meal,meal,Neutral
437,must,1,must,must,Neutral
438,perfect,1,perfect,perfect,Positive
439,essence,1,essence,essence,Neutral
440,accident,1,accident,accident,Negative
441,happen,1,happen,happen,Neutral
442,force,1,force,force,Neutral
443,majeure,1,majeure,majeure,Neutral
444,okay,1,okay,okay,Positive
445,woman,1,woman,woman,Neutral
446,bicycle,1,bicycle,bicycle,Neutral
447,basket,1,basket,basket,Neutral
448,away,1,away,away,Neutral
449,discomfort,1,discomfort,discomfort,Negative
450,walk,1,walk,walk,Neutral
451,building,1,building,building,Neutral
452,outside,1,outside,outside,Neutral
453,business,1,business,business,Neutral
454,normal,1,normal,normal,Neutral
455,frantic,1,frantic,frantic,Negative
456,short,1,short,short,Neutral
457,job,1,job,job,Neutral
458,water,1,water,water,Neutral
459,attentive,1,attentive,attentive,Neutral
460,also,1,also,also,Neutral
461,checking,1,checking,checking,Neutral
462,encounter,1,encounter,encounter,Neutral
463,polite,1,polite,polite,Neutral
464,criticize,1,criticize,criticize,Negative
465,crumpled,1,crumpled,crumpled,Neutral
466,speak,1,speak,speak,Neutral
467,shoppi,1,shoppi,shoppi,Neutral
468,reported,1,reported,reported,Neutral
469,sooner,1,sooner,sooner,Neutral
470,slightly,1,slightly,slightly,Neutral
471,bothered,1,bothered,bothered,Negative
472,disappointed,1,disappointed,disappointed,Negative
473,monday,1,monday,monday,Neutral
474,wednesday,1,wednesday,wednesday,Neutral
475,worried,1,worried,worried,Negative
476,getting,1,getting,getting,Neutral
477,slowly,1,slowly,slowly,Neutral
478,normally,1,normally,normally,Neutral
479,standard,1,standard,standard,Neutral
480,carefully,1,carefully,carefully,Positive
481,payment,1,payment,payment,Neutral
482,amount,1,amount,amount,Neutral
483,familiar,1,familiar,familiar,Neutral
484,pickle,1,pickle,pickle,Neutral
485,last,1,last,last,Neutral
486,mind,1,mind,mind,Neutral
487,delivering,1,delivering,delivering,Neutral
488,new,1,new,new,Neutral
489,staying,1,staying,staying,Neutral
490,better,1,better,better,Positive
491,cost,1,cost,cost,Neutral
492,notified,1,notified,notified,Neutral
493,baan,1,baan,baan,Neutral
494,ua,1,ua,ua,Neutral
495,floor,1,floor,floor,Neutral
496,raised,1,raised,raised,Neutral
497,argue,1,argue,argue,Negative
498,rise,1,rise,rise,Neutral
499,everyone,1,everyone,everyone,Neutral
500,thailand,1,thailand,thailand,Neutral
501,bigger,1,bigger,bigger,Neutral
502,singapore,1,singapore,singapore,Neutral
503,country,1,country,country,Neutral
504,owner,1,owner,owner,Neutral
505,access,1,access,access,Neutral
506,demand,1,demand,demand,Negative
507,thai,1,thai,thai,Neutral
508,already,1,already,already,Neutral
509,folded,1,folded,folded,Neutral
510,sick,1,sick,sick,Negative
511,damaged,1,damaged,damaged,Negative
512,convenience,1,convenience,convenience,Neutral
513,five,1,five,five,Neutral
514,speaks,1,speaks,speaks,Neutral
515,need,1,need,need,Neutral
516,picked,1,picked,picked,Neutral
517,running,1,running,running,Neutral
518,hearing,1,hearing,hearing,Neutral
519,buzzer,1,buzzer,buzzer,Neutral
