,rating,Reviews,Sentiment
23,1.0," Tell me that the parcel has been delivered. Where did you send it to, you signed the parcel yourself or you dropped the parcel, I don't know what the fuck …",Positive
24,1.0, Very slow delivery ,Neutral
25,1.0," Sent by a pod. That pan. That's good news that it's growing 3 times. Spit. I recommend you to go to work with other camps. Kerry, JT, etc., come to Khon Kaen. He never exceeds 3 times. Jak An. There is only this camp. …",Positive
26,1.0, very bad  ,Negative
27,1.0," Really bad. Management is very bad. Items have arrived for 3 days. Still haven't received the item. Check the status. Can't contact the recipient. Which way do you contact? Mail or telegram, always carry phone because …",Negative
28,1.0," Very slow delivery, status information is not updated at all. …",Neutral
29,1.0," SHNV085531120 The customer is waiting for the parcel at home all day. Checking the parcel, it says that the customer has changed the delivery date and time. The person who is waiting is waiting for the transport staff …",Neutral
30,1.0, Slowly  ,Neutral
31,1.0," It's been a week and I still haven't been able to. Check the parcel number, there is no movement at all. There is nothing that can be contacted to help at all. It's really the worst of the transportation system. …",Negative
32,1.0," Very late, made an appointment today.  ",Neutral
33,1.0, Sucks. Slow delivery. Pickled items. No delivery. I do not recommend using this transportation service. It's a waste of time. Stop using the name Ninja. It's not appropriate. Changing to a logistic turtle should be …,Negative
34,1.0, The parcel was unpacked.  ,Neutral
35,4.0, nice big warehouse  ,Positive
36,1.0," Pickled items are very good, don't send items, don't call, the latest we ordered has been bounced back to the sender to wait for 7 days. Very bad. …",Negative
37,3.0, There is a subsidiary in Kasetsomboon District. Chaiyaphum Province? …,Neutral
38,1.0," The product came in unpacked the box and it looked broken. The ordered item was not exactly the same, it was enough to see that the product was broken again. …",Negative
39,1.0, Not able to deliver but claiming to be unable to call the recipient even though there is no incoming call …,Neutral
40,5.0, Bangchak Branch. Products are delivered very quickly. Polite staff. Call to inform before coming to deliver. …,Neutral
41,1.0," The delivery staff did not arrive, did not contact the customer, did not come back again. Better to close the company …",Positive
42,1.0, ninj van Kabinburi has not been contacted yet. The status says that the delivery was unsuccessful due to the customer requesting to adjust the delivery time. what is it …,Negative
43,1.0, Parcels are being processed at the Ninja Van Warehouse - Ninja Van Sorting Facility. …,Neutral
44,1.0, Shipping is very slow. Calling to ask is not clear. Wait for 7 days. …,Positive
45,1.0," Too bad, too long, ineffective irresponsible Items have been left at the branch for a long time. Since ordering online from this company the worst All necessary items are missing 😡😡😡 …",Negative
46,1.0, Does this company like pickles? How long is it from Bang Phli? Go to Thung Khru …,Positive
47,1.0, Very bad. I've been waiting for items in Bangkok for 5 days. relayed all the time I can only say that the coordination for 1-2 days is the same. The part of the postponement is delivered on a day to day basis. …,Negative
48,1.0," Very slow delivery, it will be ruined soon  ",Negative
49,1.0," I'll tell you Cancellation notification, did not receive the product for 2 rounds to return the sender …",Negative
50,1.0," Very slow, send it, don't call Items can't be lost in the night. It's so bad. It's the worst logistics I've ever seen. …",Negative
51,1.0," Ordered for a week and still haven't received it yet, bad, bad, bad. …",Negative
52,1.0, Very poor delivery I don't know how many calls did not come according to his own appointment And do not call to tell wait a day Do not use it no responsibility …,Negative
53,1.0, very slow delivery will preserve the product for  ,Neutral
54,1.0," Delivery origin on 21 July 64 There are 5 boxes of items. When they arrive at the destination, there are 4 boxes of items. Items arrive at the destination. 24 July 64 …",Neutral
55,1.0," Very slow delivery, no calls at all, slow service  ",Neutral
56,1.0," It's a very bad transport. There was another branch called to inform that the item would come at 1pm, but it didn't come. The next day, I called back to the same number and told the different branch responsible for …",Negative
57,1.0," Item arrived quickly but the service provider is very bad. Come to send, do not call in advance, arrive at the house and then call Said that he wasn't at home, but his daughter lived and didn't leave the money for the …",Negative
58,1.0," Very bad service, ordering a lot of things, can't really find this company. Slow delivery Called to make an appointment but didn't come and let us wait. …",Negative
59,5.0," Fast delivery, 3 days to arrive. very good transport At first, I thought I wouldn't be able to get items anymore because I saw all the negative reviews. …",Negative
60,3.0,Edit: 23/07/2021  บริการดีขึ้นและส่งของตรงเวลาค่ะ …,Neutral
61,2.0," Very slow delivery, called and said they would deliver. Ask where the address is. In the end, he didn't come, didn't call, and was also postponed in the system that the customer informed the postponement of the …",Positive
62,1.0, Rama 4 branch. Very bad. Sent many times delayed. Follow until you don't know how to follow. Not responsible. …,Negative
63,1.0," Very slow delivery, said that I pressed the wrong button, but really refused to deliver that day. will be delivered the next day The next day still hasn't arrived ",Negative
64,2.0, Drive to the parking lot and shout out of the car that you've come to deliver me...... and let the recipient walk to pick up the goods and pay the car Is this a delivery service? …,Positive
65,3.0," Very slow, withdraw from the shop. Random delivery. Meet the nemesis ninja. Sending items to adults is much slower than other transports. 😒🙄😤👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 …",Neutral
66,1.0, I was informed that the item had been received for 2 days. have not received Tell the wrong address even though the address is the same address Wasting time waiting …,Negative
67,1.0," Slow delivery, wait until you're discouraged  ",Negative
68,1.0, Is not sending the rate for 1-2 days and then came to say that he could not be contacted even though he was waiting to receive it and then suddenly returned to the store that did not inform us at all .. very bad …,Negative
69,1.0, The parcel arrived at the destination. The status of delivery. 7 days have passed and still haven't received the item. and then there is a …,Neutral
70,1.0, Secondary items have been here for several days and have not arrived yet. There is a notification that the item will be delivered on the 12th. This is the 14th day and still haven't contacted me. The delivery is very …,Neutral
71,1.0, Very bad. Pickled. Very good stuff. Don't call the child and say that he can't contact the child. Transport. Arrange delivery for customers from 12 to 14 and still haven't got it. …,Negative
72,1.0," Received this item from this transport twice. The delivery man spoke harshly both times. Call and ask for directions, not local people, don't know where this address is, there is no alley. Ask Tring why other …",Neutral
73,1.0," The delivery of this item occurred from the fact that I ordered the product through an online store, which the company shop was. Partner with Ninja Transportation. The delivery of the goods I ordered took a very long …",Positive
74,1.0," The parcel called to say that it will be delivered by Thursday when the office is closed. We asked to postpone Friday and the status is up for sure that it's really Friday. But in the end, I waited all day, so I …",Positive
75,1.0," Made a purchase from Shopee, got hit back for the 1st time saying that the recipient could not be contacted even though he had not received a call from the staff at all. And call the Call center the second time will …",Neutral
76,1.0," Sent the item successfully. But who is the recipient, I don't know. signed our name Ours is not important in it is baby milk powder. Let's eat rice first, baby. Because that's the money that I have saved to stock up …",Positive
77,1.0," Check the parcel, the status says ",Neutral
78,1.0, The parcel arrived at the destination. The status of delivery. 3 days have passed and still have not received the item. …,Neutral
79,1.0, I can postpone the delivery. Boring. I haven't sent it yet. Is there any responsibility? …,Negative
80,1.0," Ordered the product on 27 May. July 64 in the system, it says received the parcel successfully. Waited from 28 until the 2nd day. Still haven't arrived. Bangkok-Prachuap, how long will it take? Other companies just …",Positive
81,1.0, Worst As far as I can tell you straight It's very slow and it doesn't fit in the system at all. …,Negative
82,1.0," No staff contacted, no delivery. but into the system that ""Unable to contact recipient"" Terrible. Not delivered in time and then blame the customer …",Negative
83,1.0, Not yet. but in shopee system Says sent but can't contact the recipient. But no one has contacted me yet. So confused and writes that it's shipping again. Around 4 p.m. Um. 4 p.m. K sucks. …,Negative
84,1.0," On May 28, 1964 There was an office worker bringing the parcel to the house. The office worker will take a picture of us claiming to be delivered to the company. will know who is the recipient We refuse to take …",Negative
85,1.0," Really sent quickly, but sent to anyone who doesn't know. Plus sign our name as well …",Positive
86,1.0, Slow  ,Neutral
87,1.0, Shouldn't even get a star Can deliver one piece Very bad experience The address of the responsible person. Turns out to be sending items to the sender. Crazy. Tell us to pick up and send again. .... Complain to the …,Negative
88,1.0, Very bad  ,Negative
89,1.0," Did not update the product at all. Where is it. Delivered very late, 2 days has not arrived. …",Neutral
90,1.0," Worst of all, I am waiting to pick you up throughout the delivery from the origin of the delivery to your transport company. Tell the item to be delivered within 20 May - 22 May until today. 21. Items should arrive in …",Negative
91,1.0, Very slow transport  ,Neutral
92,1.0," Very slow, delivered at 20.00 at the company, who will be there, pick up the goods, and there is no call in advance. Crazy, finally delivered again instead of sending faster than before. Returning to the same time. …",Positive
93,1.0, The shop has sent the goods from the 11th until the 14th and has not received the item yet. …,Positive
94,1.0," At first, it was good..but the latest item was not received .. has not been received. …",Neutral
95,1.0," Ten days, I tell you, so desperate. I recommend it. I use other brands to finish it. …",Positive
96,1.0," Very slow, the delivery shop gave the 6th day. Now, on the 10th day, we still haven't got anything yet. Not far In the metropolitan too …",Neutral
97,1.0, Very slow  ,Neutral
98,1.0, I have been waiting for three days. Said that the rain can't come to deliver. It's an excuse. You can't just do this. You can't go to sleep at home. …,Negative
99,1.0, The shop's reputation is valuable ... Do not come with this transport. Eliminated every time It's a shepherd boy every now and then. …,Positive
100,1.0, Denied much responsibility Claimed that in Bangkok sent one day I have been waiting for a week. …,Negative
101,1.0," I don't want to give a star at all. Delivery is very late, wait 7 days. Think about it. The next round would not use the service and …",Negative
102,1.0," The system is increasingly bad in the system that cannot be contacted by numbers. We called to change the number. For fear of bouncing Then sat and waited for a week In the end, I can't tell if I can't contact the …",Negative
103,1.0, The delivery is very slow. Say it will be sent within 3-4 business days. Never called But it shows up as if Unable to contact the recipient .. Home of you .. 29/4/64 ,Neutral
104,1.0," The delivery was very slow, many shots did not come.  ",Neutral
105,1.0," Honestly, I don't want to give a star Very bad delivery man Ninja Van Thung Khru Before shipping, you have to call the customer first, right? This one is calling, but it is close to calling. We went out to eat. So we …",Negative
106,1.0," I am confused. Ordering things, the phone number is attached to the front of the box. But the status says The sender has arrived at the residence but cannot contact the receiver. Calling and not calling the shop all …",Negative
107,1.0," Said that the product will be delivered within today But did not deliver, but said that he could not contact the recipient Even though I didn't call once We'll just wait. Going to check again, the delivery can't …",Negative
108,1.0," Very bad I don't have one. If you know that you are not ready, you can not tell what is not true. Since ordering things, I have never met Which shipping company was so bad …",Negative
109,1.0," Terrible and awful. Said that 4 intersections and then turn right, but went to 3 intersections and then turn right Is it really inseparable? 3 separate and 4 separate? Tell me the way to the house 3 times, I think I …",Negative
110,1.0," Transport, do not call Suddenly, the delivery was successful, the item was not interrupted, hurry to deal with …",Positive
111,1.0," Delivered very late, all others have delivered. Ninja Van is still at the warehouse. …",Neutral
112,1.0," This transport, the worst service, the worst, the slowest. Should have received items from April 2, until now, April 6, still did not receive the goods, calling the whole big center, both the courier and speaking, but …",Negative
113,1.0," Ordered items in shopee and it has a single delivery, delivery cost 29 baht, I think J&T because this transport is very good in our neighborhood, service is good enough, only the seller is the ninja van. Haven't …",Positive
114,1.0, Really bad !! Liar !!  ,Negative
115,1.0," Do not use this service. Can't contact anything, call center, can't give person number Goods arrived and told them to pay. But can't contact us …",Positive
116,1.0," Service is very bad, delivery of goods is slow, is preserved at the warehouse. In the system can not contact the recipient. No one has contacted yet. Then took the goods back to the new warehouse …",Positive
117,1.0," Ordered items from Shopee yesterday, the status is delivered, but there is no staff to contact, when checking in the evening, the status says, unable to contact us even though we haven't contacted yet, we waited all …",Neutral
118,1.0," Order set for several days. When the delivery deadline was reached, we waited, but there was no communication from the courier. When came to check the parcel number, said The product was not delivered successfully. …",Positive
119,1.0," Very slow Not recommended, can be avoided, should be avoided Order from China first. Bangkok to Rajyuri takes 5 days. Customers curse in the morning, lunch and evening. …",Negative
120,1.0," Waiting for delivery all day, order in shopee Status shows that the goods will be received today, waiting all day, there is no indication that the phone will come, take it with you all the time, even going to the …",Positive
121,1.0," Lek Huay, Ratchaburi, 70000 No, the car ran a big box, gave the car a delivery machine, how could he carry it? Ninja Van …",Neutral
122,1.0," The delivery of this company is very slow, horrible.  ",Negative
123,1.0," It is extremely slow transportation. If there is a channel that does not give any points at all, then this company Very drool, tell me If there are many companies to choose from I would not recommend anyone to use the …",Positive
124,1.0," It is a terrible transport. Since every order To inform the shop, unable to contact even without calling Unable to deliver goods, tell no one to live Even though there are always people at home This is the service The …",Negative
125,1.0," Ordered with se-ed, pay, express delivery, but the package has not yet arrived very late. …",Negative
126,1.0," Poor service, order of the shop, delivered on Thursday, received again on Tuesday, the house is in Samut Sakhon. Shop in Samut Prakan, near DC, it sent to Mars and returned to Earth. …",Negative
127,1.0, Very slow for many days  ,Neutral
128,5.0," Followed by the email report after the submission. - Very good email report with name, date / time, picture, signature of the person who signed for the parcel, complete and complete amount. …",Positive
129,1.0," Until now, have not received the product _ call to postpone again _ and tell customers to postpone _ very bad _ Bang Pa-in Ayutthaya _ ordered from shopee next, which shop used to transport Ninja Van _ will not order …",Negative
130,1.0," 10 days sent Customer has not received the item The call to the call center cannot provide any information. Until the customer cancels the Ogre, who is responsible for how to send it in 10 days still has not been …",Positive
131,1.0," Waited from the date 6/2/64 until now, not yet. At first it arrived and I couldn't find the item so I said that I would send it again. Until now, not at all, confused. …",Negative
132,5.0," Convenient transportation, fast, use a ninja  ",Neutral
133,1.0," Today there is an employee from the transportation way to call us. At first I told you that the customer bought this .... This order number .... We are in .. ..... Later, I said that the customer bought it with this …",Positive
134,1.0, The delivery is very slow.  ,Neutral
135,5.0, Call to inform in advance that the goods will be delivered. The delivery staff spoke politely. …,Positive
136,4.0, The staff are polite and humble.  ,Neutral
137,1.0," Ordered from shopee, delivered by ninja van delivery, very bad service. Talks should not be available, call at 7.58 am, tell me the goods will be delivered at this time, not yet. When I called to ask, he said that he …",Negative
138,1.0," The transportation is very bad. On 25/12/63, the staff called in at 8:00 p.m. said that the product was not delivered on time. Request to cancel delivery today. Will come and send it again on 26/12/63, waiting all …",Negative
139,4.0, Good service staff Haven't met an employee who has bad manners yet. But may be delivered later than the others …,Positive
140,1.0," It is a bad transport, slow delivery, employees call and postpone again. …",Negative
141,1.0," Terrible service, let's change the delivery time from yesterday to today and from today to tomorrow. Bad, bad, bad, no responsibility at all. Not deserving of a star …",Negative
142,1.0, Delivery does not call to notify The system is currently delivering 08; 00 until the end of the day. …,Neutral
143,1.0," The system is terrible. Products sent 4 days a day. Still not something else. Ordered later, kerry flash delivered, but this still hasn't arrived. Who will use the service, thinking good is very bad. …",Negative
144,3.0," Using the service for the first time, very ok. The second time is quite bad. Because you call us at 21.30 Which at that time we were going to work so there was no time to receive Which our house is in other provinces, …",Negative
145,2.0," Very slow. Other transportation, where are they going? This transport is still a turtle crawling. Should improve the speed of delivery to be better …",Positive
146,1.0, I met myself twice ,Neutral
147,1.0," Contacted, will send items, use words like talking to a friend, not enough, and also tell them to walk outside to pick up the item. How do you think? Order dome lid 15 pack paper glasses 15 rows * 50 pieces per …",Positive
148,1.0," The transport is very slow, ordered three days. Haven't received the item yet …",Neutral
149,1.0," Delivered very slow. Enough to send, did not call to tell first. …",Neutral
150,1.0," Very good, not delivering items as scheduled, filling out, canceling delivery. And people who order the product just wait. Ask to go to every channel, no answer whatsoever It is the cheapest transport that I have ever …",Positive
151,1.0," The transportation system is very low. Never used to transport anything, and I received this very slow. Delivery from Nakhon Pathom to Samut Prakan took 8 hours, until now I have not received the parcel. The transport …",Negative
152,1.0," Transported more like a turtle The parcel status from last night until now, the status is still in the same place. …",Positive
153,1.0, Ninja van can wait. It's the worst in loca. Things that are not yet claimed. This is bad. …,Negative
154,1.0," Terrible, awful, ordered from the 20th Until 27 haven't. When ordering in shopee Specify received no more than 24 Here I come for 3 days. …",Negative
155,1.0," Order on 11/10 Delivery store 12/10 Date 14/10 18:03 Call to inform today, missed delivery Send to tomorrow, but the …",Negative
156,1.0," Very bad, very late delivery Added to the false state that Unable to contact recipient Despite not being contacted Goods were sent from 9 o'clock until 2 o'clock. No customer contact Waiting for another day Out at 9 …",Negative
157,2.0," Poor segregation management The goods are transported for 4 days, not yet. The provinces are adjacent too. Calling to ask, it appears that the postal number is wrong. …",Negative
158,1.0," Ordered from shopee, delivered by ninja van delivery, someone signed for it instead. We do not have items. The house is all day. Send it to anyone, anywhere, call …",Neutral
159,1.0," Poor service, staff, poor delivery, lack of training  ",Negative
160,1.0,"Never ever try to use, tracking is faked, customer complained never taken to account.",Negative
161,1.0," The delivery is very slow, I said I will deliver today, but it is quiet. Claiming but a lot of stuff One time, I didn't choose Ninja. …",Neutral
162,1.0, Very slow.  ,Neutral
163,1.0," Order from shoot, fast delivery shop, but stuck in the transport of Ninja Van Thung Khru, but came up with a status that contacted the customer is not a residence.What is it? Is it up to the office? Why can't I …",Negative
164,1.0, It is very bad. It is the first company to deliver the goods and then walk to get the goods and take the money out to pay. …,Positive
165,1.0," Service to postpone, send, reserve and deliver again Claiming a lot of stuff …",Negative
166,5.0," Very good, Maha Sarakham Province, always use Ninja Van service. Polite staff always call in advance. Very impressed. Very good. …",Positive
167,1.0, The delivery staff spoke like a ghost.  ,Positive
168,1.0," Terrible, very slow transportation, the delivery date is delayed for 2 days, and still not enough to call to inform the delivery date itself. But in the system back that we are notifying the change of the date itself …",Negative
169,5.0, Good  ,Positive
170,1.0," Call center, terrible service, no manners.  ",Negative
171,1.0,Somehow refused to deliver my package after 10 days of waiting and constant calls to the customer service.,Negative
172,3.0, Fast delivery  ,Neutral
173,5.0, Send fast now. One day to go Employees will leave the parcel at the juristic person. …,Negative
174,5.0," The delivery staff calls for appointments to send first in advance, good service, good polite speech. …",Positive
175,3.0," The parcel box is very demolished. But fortunately, the contents are fine. The delivery speed is considered fast. …",Positive
176,5.0," Well, I didn't get it myself, but Nauti accepted it without being dropped or damaged. …",Positive
177,5.0, The staff spoke well and polite.  ,Positive
178,5.0,Fast delivery. Driver is very friendly and polite.,Positive
179,5.0," The service staff are very good, very polite, trust Ninja Company. To deliver parcels many times and countless times …",Positive
180,3.0," There is a delay in delivery per house. Some items are delivered within 1 day. When asked to arrive in that area, the employee did not sell immediately. …",Negative
181,5.0," Very good service staff The parcel is delivered quickly, known to be delivered very well. Without giving directions at all …",Positive
182,5.0," Brother who delivered the goods Riding on a motorcycle to speak well, smiling face …",Positive
183,5.0," Good service, call to inform before the parcel arrives.  ",Positive
184,5.0," Good service, fast delivery as scheduled  ",Positive
185,4.0, Fast delivery Call to inquire before sending. Good.  ,Positive
186,5.0, The sender called before sending the parcel. Good talk. Leave the security guard. …,Positive
187,5.0, Send good service staff.  ,Positive
188,5.0, Fast delivery  ,Neutral
189,5.0, Get things fast The staff delivered early in the morning. It's quick to eat. …,Neutral
190,5.0, OK  ,Positive
191,1.0," For people who want to experience the new dimension of shipping How is it sent locally? As if Phil has received products from abroad Through the consular ceremony By storing them at the warehouse one area at a time, …",Positive
192,5.0, Very fast  ,Neutral
193,1.0," The first employee called to ask for directions, but did not come and sent it, and still recorded in Shopee that the recipient could not be contacted even though we had given directions. And waited all day Must …",Neutral
194,4.0, Quick  ,Neutral
195,5.0, Received the item and sent it well.  ,Positive
196,5.0, The product is neat and the cover arrives quickly.  ,Positive
197,5.0," Send work quickly, polite, like straight, use local people who know the area very well. …",Positive
198,5.0," Delivered quickly, safe parcel. Have a call first Making it possible to plan to receive packages …",Positive
199,1.0," Shipping delay Check the web page, see Tung's admission, but on the 7th but deliver the goods on the 11th despite the store ordered only 7 kilometers away from the customer's home .. …",Positive
200,5.0, Employees have called in advance to deliver the goods. Very polite speaking …,Positive
201,5.0," The delivery speed is very good. The staff who delivered the product spoke very well. Overall, I am very impressed. …",Positive
202,5.0, Very good. The product arrives very quickly #Love it 😜🥰 …,Positive
203,5.0, Receive the goods safely and Fast to deliver Polite staff …,Positive
204,5.0, good  ,Positive
205,5.0, Teenage Mutant Ninja Turtles Delivering items 3 times each I am encouraged …,Positive
206,2.0," Slow delivery I do not understand that it is the shop's system slow delivery or delivery. Because the destination province is in the metropolitan area We ordered products on Sunday, but the products were delivered on …",Neutral
207,5.0," Fast delivery, economical, very cute.  ",Positive
208,5.0, Goods delivered on time  ,Positive
209,5.0," Received the product. No damage Before coming to the staff, call first But since that day is at a different place Therefore put it in the mailbox in front of the house There aren't any problems. …",Negative
210,5.0, Fast delivery ..  ,Neutral
211,5.0, Delivery very fast The organizing staff speaks politely.  ,Neutral
212,5.0," Good service, very good-natured delivery person, Don Tro Subdistrict, Chalerm Phra Kiat District Nakhon Si Thammarat Province Come to send often until you are close. Impressed with the service …",Positive
213,5.0," Fast delivery, but before coming to send, want to call and tell first …",Positive
214,5.0," Call to inform before arriving, delivery is good, fast.  ",Positive
215,5.0," Good service, fast delivery, polite staff, hundreds of parcels arrive in good condition. …",Positive
216,5.0," Nong Bua Lam Phu branch, fast delivery, good, not losing to others, good box condition, delivery staff call before entering the delivery Excellent, please keep this kind of standard continue. …",Positive
217,1.0," Employees should have an understanding of Soi Fang, even numbers, odd numbers. …",Negative
218,3.0," The delivery is fast. But I don't like being alone at all: I'm not at home But he signed as me to pick up the goods, that is, if the item is lost, do I have to follow with myself? Bad habits …",Negative
219,5.0, Fast  ,Neutral
220,1.0, Many broken parcels I don't know why Inaccuracy of the sender ,Negative
221,4.0, Transportation OK. Products in good condition. Call before delivery. …,Positive
222,4.0," Call for an appointment Some, not some Most of the employees encountered 99.99% are considered very good. …",Positive
223,5.0, There is a polite advance call to help lift things to the place. …,Positive
224,5.0," Employees call in advance that the parcel has arrived. Speaking because .... Overall, it is considered good. …",Positive
225,5.0, The staff are polite and polite.  ,Neutral
226,5.0, Very good service in all matters  ,Positive
227,1.0," Ordered the Ninja Van 2 times. The bad first time was one call, and when we didn't answer, we called back, and he didn't pick up. The next day we called back to pick up. We told you to come in and deliver the goods …",Negative
228,5.0," The staff called in advance that they would deliver the product. Speak politely Overall, I am very satisfied with the delivery of the product. …",Positive
229,5.0, The transportation service is very fast.  ,Neutral
230,1.0, Poor. Hold for 3 days in the company's system. The place of delivery is a residence Poorly unable to contact the recipient. Do not contact. Always wait. …,Negative
231,1.0, I can tell one word is very slow.  ,Neutral
232,5.0, The delivery man spoke very well.  ,Positive
233,1.0," The package was very wrinkled, if it was something that could be broken, it was really bad, not that it was delivered to the recipient's meal only. The delivery must be in perfect condition as well. …",Negative
234,5.0, Never been disappointed with the transportation The product comes in good condition. The staff are also polite. …,Positive
235,5.0, The staff are polite. Call for delivery. Soon  ,Neutral
236,5.0, Polite staff can schedule appointments.  ,Neutral
237,1.0," The recipient is not the owner of the package. Checked at home, no one accepted the parcel. …",Positive
238,4.0," Shipping, I am okay, nothing is damaged. I wish to be like this forever. …",Neutral
239,4.0,"Fast delivery,May be",Neutral
240,1.0," Is confusing. Ordering the number is on the front of the box But the status says The sender has arrived at the residence but cannot contact the receiver. Call is not calling. Also, today is a holiday. Many people at …",Positive
241,5.0," Responsible employees are the very essence of the company. Accidents can happen at any time. Therefore, due to force majeure, it is not possible to blame the employees who were sent late. …",Negative
242,5.0, The product is not damaged. Quite good  ,Positive
243,5.0, Fast delivery  ,Neutral
244,5.0, Excellent delivery  ,Positive
245,5.0," Good, call to inform before delivery, good product, staff came to deliver at the specified point. The product is not damaged. May depend on the service area Fast delivery. …",Positive
246,4.0, Good fast  ,Positive
247,5.0, Fast delivery across the day. Very good service.  ,Positive
248,5.0, Polite staff. Call ahead. Supporting people making a living ❤️ …,Positive
249,5.0, The delivery person spoke good service.  ,Positive
250,5.0, Good fast service .. Staff speak politely. The staff member called in before telling the package to be delivered every time. …,Positive
251,5.0, Good  ,Positive
252,5.0," Delivery staff polite. Call to notify to pick up the product, even without having to collect products Normally, if there is no collection fee, most will deposit the project law without notifying …",Neutral
253,4.0, Please maintain the standards and improve the service even further 😊🤍 …,Positive
254,5.0," Okay, no problem.  ",Negative
255,5.0, The shipping cost is fast. Good service staff  ,Positive
256,5.0,"Good service, politely and professional team, all my question was sorted very fast,, lov this company 🥰",Positive
257,5.0, The delivery staff is good. Fast and there is a call to notify first. …,Positive
258,5.0, Delivery on time  ,Neutral
259,5.0," Use the service every time because it's fast, cheap, and good service, not inferior to other owners. I've been using the service since the first ninja van was available. Cheering for the team …",Positive
260,3.0, Better than before  ,Positive
261,5.0, The staff were polite before calling to tell first.  ,Neutral
262,5.0, The staff called to request permission to place the products in front of the house in a safe place. Very good. …,Positive
263,4.0, The delivery is good.  ,Positive
264,5.0," Senders call to notify before sending, considered good  ",Positive
265,5.0," Fast delivery Have better development From many months ago, slow delivery of the lost goods but came today when the ninja Improved delivery Please encourage the team and staff. Continue to improve the work …",Positive
266,3.0," Today, the staff are women. Call to inform that a package has been delivered. Therefore told to put it in the bicycle basket Then she pressed the call away Discomfort Just walk into the building in front of the room. …",Negative
267,4.0," When the officer calls to notify to receive the product, it is already in front of the house Always like this If collecting money at the destination, would probably find money to be busy Should call in advance for 3 …",Positive
268,5.0, Polite staff  ,Neutral
269,4.0," Good service, affordable price Call to inform the reception of the staff politely. …",Positive
270,1.0, Transportation is very slow  ,Neutral
271,1.0," Very late delivery Unable to send in time, not calling customer, then delivery status unsuccessful Call back at 8 pm and say that delivered tomorrow. Tomorrow is not true Another day passed to get the item. Must call …",Positive
272,5.0, The thing is that the transport staff spoke well.  ,Positive
273,5.0," The staff are very friendly, the condition is very perfect. …",Positive
274,1.0,The staff should be trained how to speak politely to the customer 😵😵,Neutral
275,4.0," Overall, the staff speak good. Good transportation, undamaged products …",Positive
276,5.0, Very good. Transport staff are cute. 😁  ,Positive
277,4.0," Delivered as per the provincial standards, about 4 days is OK, slightly slower than the others. …",Positive
278,5.0, Package number SHNV323749471 Fast delivery as according to the slogan. …,Positive
279,5.0," Good service, good speech, no damage received ",Positive
280,5.0," Fast transportation. Staff are very polite. Overall, it is good. Want to keep this quality forever …",Positive
281,5.0," The delivery man spoke politely. Call in advance. We transfer too much money, then he quickly transferred back. …",Neutral
282,5.0, who had deliver early last night,Neutral
283,5.0, Let Grandma take the stuff. But should be good  ,Positive
284,5.0, Service is polite.  ,Neutral
285,5.0," Good, fast transportation The staff is neat, polite, and lovely. There is a call coming in every time before delivering the package to us. …",Positive
