word,count,Sentiment,company,country
"slow,",2,Neutral,Ninja Van,TH
can't,2,Neutral,Ninja Van,TH
bad,2,Negative,Ninja Van,TH
really,2,Neutral,Ninja Van,TH
day.,2,Neutral,Ninja Van,TH
delivered,2,Neutral,Ninja Van,TH
hasn't,2,Neutral,Ninja Van,TH
arrived,2,Neutral,Ninja Van,TH
as,2,Neutral,Ninja Van,TH
all.,2,Neutral,Ninja Van,TH
star,2,Neutral,Ninja Van,TH
Delivery,2,Neutral,Ninja Van,TH
about,2,Neutral,Ninja Van,TH
use,2,Neutral,Ninja Van,TH
"transport,",2,Neutral,Ninja Van,TH
April,2,Neutral,Ninja Van,TH
receive,2,Neutral,Ninja Van,TH
Ordered,2,Neutral,Ninja Van,TH
late.,2,Neutral,Ninja Van,TH
days,2,Neutral,Ninja Van,TH
transport,2,Neutral,Ninja Van,TH
contact,2,Neutral,Ninja Van,TH
being,2,Neutral,Ninja Van,TH
were,2,Neutral,Ninja Van,TH
9,2,Neutral,Ninja Van,TH
2,2,Neutral,Ninja Van,TH
another,2,Neutral,Ninja Van,TH
But,2,Neutral,Ninja Van,TH
item,2,Neutral,Ninja Van,TH
encountered,1,Neutral,Ninja Van,TH
problem,1,Negative,Ninja Van,TH
failing,1,Negative,Ninja Van,TH
all,1,Neutral,Ninja Van,TH
rounds.,1,Neutral,Ninja Van,TH
understand,1,Neutral,Ninja Van,TH
how,1,Neutral,Ninja Van,TH
fail.,1,Negative,Ninja Van,TH
parcel,1,Neutral,Ninja Van,TH
"time,",1,Neutral,Ninja Van,TH
staff,1,Neutral,Ninja Van,TH
car,1,Neutral,Ninja Van,TH
"broken,",1,Negative,Ninja Van,TH
they,1,Neutral,Ninja Van,TH
scheduled,1,Neutral,Ninja Van,TH
like,1,Positive,Ninja Van,TH
this?,1,Neutral,Ninja Van,TH
Is,1,Neutral,Ninja Van,TH
there,1,Neutral,Ninja Van,TH
only,1,Neutral,Ninja Van,TH
sender?,1,Neutral,Ninja Van,TH
Sucks.,1,Negative,Ninja Van,TH
items.,1,Neutral,Ninja Van,TH
do,1,Neutral,Ninja Van,TH
recommend,1,Positive,Ninja Van,TH
service.,1,Neutral,Ninja Van,TH
waste,1,Negative,Ninja Van,TH
Stop,1,Negative,Ninja Van,TH
name,1,Neutral,Ninja Van,TH
Ninja.,1,Neutral,Ninja Van,TH
appropriate.,1,Neutral,Ninja Van,TH
Changing,1,Neutral,Ninja Van,TH
logistic,1,Neutral,Ninja Van,TH
turtle,1,Neutral,Ninja Van,TH
"good,",1,Positive,Ninja Van,TH
"items,",1,Neutral,Ninja Van,TH
"call,",1,Neutral,Ninja Van,TH
latest,1,Neutral,Ninja Van,TH
ordered,1,Neutral,Ninja Van,TH
bounced,1,Neutral,Ninja Van,TH
sender,1,Neutral,Ninja Van,TH
Too,1,Neutral,Ninja Van,TH
"long,",1,Neutral,Ninja Van,TH
ineffective,1,Negative,Ninja Van,TH
irresponsible,1,Negative,Ninja Van,TH
left,1,Neutral,Ninja Van,TH
branch,1,Neutral,Ninja Van,TH
Since,1,Neutral,Ninja Van,TH
All,1,Neutral,Ninja Van,TH
necessary,1,Neutral,Ninja Van,TH
missing,1,Negative,Ninja Van,TH
😡😡😡,1,Neutral,Ninja Van,TH
ruined,1,Negative,Ninja Van,TH
soon,1,Neutral,Ninja Van,TH
"it,",1,Neutral,Ninja Van,TH
lost,1,Negative,Ninja Van,TH
night.,1,Neutral,Ninja Van,TH
logistics,1,Neutral,Ninja Van,TH
I've,1,Neutral,Ninja Van,TH
ever,1,Neutral,Ninja Van,TH
seen.,1,Neutral,Ninja Van,TH
lot,1,Neutral,Ninja Van,TH
"things,",1,Neutral,Ninja Van,TH
find,1,Neutral,Ninja Van,TH
Called,1,Neutral,Ninja Van,TH
make,1,Neutral,Ninja Van,TH
an,1,Neutral,Ninja Van,TH
appointment,1,Neutral,Ninja Van,TH
let,1,Neutral,Ninja Van,TH
wait.,1,Neutral,Ninja Van,TH
pressed,1,Neutral,Ninja Van,TH
wrong,1,Negative,Ninja Van,TH
"button,",1,Neutral,Ninja Van,TH
refused,1,Negative,Ninja Van,TH
you're,1,Neutral,Ninja Van,TH
discouraged,1,Negative,Ninja Van,TH
Worst,1,Negative,Ninja Van,TH
As,1,Neutral,Ninja Van,TH
far,1,Neutral,Ninja Van,TH
tell,1,Neutral,Ninja Van,TH
you,1,Neutral,Ninja Van,TH
straight,1,Positive,Ninja Van,TH
doesn't,1,Neutral,Ninja Van,TH
fit,1,Positive,Ninja Van,TH
want,1,Positive,Ninja Van,TH
give,1,Neutral,Ninja Van,TH
"late,",1,Neutral,Ninja Van,TH
Think,1,Neutral,Ninja Van,TH
it.,1,Neutral,Ninja Van,TH
round,1,Neutral,Ninja Van,TH
would,1,Neutral,Ninja Van,TH
service,1,Neutral,Ninja Van,TH
This,1,Neutral,Ninja Van,TH
"worst,",1,Negative,Ninja Van,TH
slowest.,1,Neutral,Ninja Van,TH
Should,1,Neutral,Ninja Van,TH
"2,",1,Neutral,Ninja Van,TH
"now,",1,Neutral,Ninja Van,TH
"6,",1,Neutral,Ninja Van,TH
did,1,Neutral,Ninja Van,TH
"goods,",1,Neutral,Ninja Van,TH
calling,1,Neutral,Ninja Van,TH
whole,1,Neutral,Ninja Van,TH
big,1,Neutral,Ninja Van,TH
"center,",1,Neutral,Ninja Van,TH
both,1,Neutral,Ninja Van,TH
courier,1,Neutral,Ninja Van,TH
"speaking,",1,Neutral,Ninja Van,TH
Not,1,Neutral,Ninja Van,TH
"recommended,",1,Positive,Ninja Van,TH
"avoided,",1,Negative,Ninja Van,TH
avoided,1,Negative,Ninja Van,TH
China,1,Neutral,Ninja Van,TH
first.,1,Neutral,Ninja Van,TH
Bangkok,1,Neutral,Ninja Van,TH
Rajyuri,1,Neutral,Ninja Van,TH
takes,1,Neutral,Ninja Van,TH
5,1,Neutral,Ninja Van,TH
Customers,1,Neutral,Ninja Van,TH
curse,1,Negative,Ninja Van,TH
"morning,",1,Neutral,Ninja Van,TH
lunch,1,Neutral,Ninja Van,TH
evening.,1,Neutral,Ninja Van,TH
horrible.,1,Negative,Ninja Van,TH
"se-ed,",1,Neutral,Ninja Van,TH
"pay,",1,Negative,Ninja Van,TH
express,1,Neutral,Ninja Van,TH
package,1,Neutral,Ninja Van,TH
yet,1,Neutral,Ninja Van,TH
It,1,Neutral,Ninja Van,TH
postpone,1,Negative,Ninja Van,TH
again.,1,Neutral,Ninja Van,TH
terrible.,1,Negative,Ninja Van,TH
Products,1,Neutral,Ninja Van,TH
Still,1,Neutral,Ninja Van,TH
something,1,Neutral,Ninja Van,TH
else.,1,Neutral,Ninja Van,TH
"later,",1,Neutral,Ninja Van,TH
kerry,1,Neutral,Ninja Van,TH
flash,1,Neutral,Ninja Van,TH
"delivered,",1,Neutral,Ninja Van,TH
arrived.,1,Neutral,Ninja Van,TH
Who,1,Neutral,Ninja Van,TH
thinking,1,Neutral,Ninja Van,TH
good,1,Positive,Ninja Van,TH
low.,1,Negative,Ninja Van,TH
Never,1,Neutral,Ninja Van,TH
used,1,Neutral,Ninja Van,TH
"anything,",1,Neutral,Ninja Van,TH
Nakhon,1,Neutral,Ninja Van,TH
Pathom,1,Neutral,Ninja Van,TH
Samut,1,Neutral,Ninja Van,TH
Prakan,1,Neutral,Ninja Van,TH
took,1,Neutral,Ninja Van,TH
8,1,Neutral,Ninja Van,TH
"hours,",1,Neutral,Ninja Van,TH
now,1,Neutral,Ninja Van,TH
parcel.,1,Neutral,Ninja Van,TH
late,1,Neutral,Ninja Van,TH
Added,1,Neutral,Ninja Van,TH
FALSE,1,Neutral,Ninja Van,TH
state,1,Neutral,Ninja Van,TH
Unable,1,Neutral,Ninja Van,TH
recipient,1,Neutral,Ninja Van,TH
Despite,1,Neutral,Ninja Van,TH
contacted,1,Neutral,Ninja Van,TH
Goods,1,Neutral,Ninja Van,TH
o'clock.,1,Neutral,Ninja Van,TH
customer,1,Neutral,Ninja Van,TH
Out,1,Neutral,Ninja Van,TH
"Terrible,",1,Negative,Ninja Van,TH
"transportation,",1,Neutral,Ninja Van,TH
delayed,1,Negative,Ninja Van,TH
"days,",1,Neutral,Ninja Van,TH
enough,1,Neutral,Ninja Van,TH
inform,1,Neutral,Ninja Van,TH
itself.,1,Neutral,Ninja Van,TH
notifying,1,Neutral,Ninja Van,TH
change,1,Neutral,Ninja Van,TH
itself,1,Neutral,Ninja Van,TH
Responsible,1,Positive,Ninja Van,TH
essence,1,Neutral,Ninja Van,TH
Accidents,1,Negative,Ninja Van,TH
happen,1,Neutral,Ninja Van,TH
any,1,Neutral,Ninja Van,TH
"Therefore,",1,Neutral,Ninja Van,TH
due,1,Neutral,Ninja Van,TH
force,1,Neutral,Ninja Van,TH
"majeure,",1,Neutral,Ninja Van,TH
possible,1,Neutral,Ninja Van,TH
blame,1,Negative,Ninja Van,TH
who,1,Neutral,Ninja Van,TH
After,1,Neutral,Ninja Van,TH
Shoppi,1,Neutral,Ninja Van,TH
reported,1,Neutral,Ninja Van,TH
he,1,Neutral,Ninja Van,TH
had,1,Neutral,Ninja Van,TH
Ninja,1,Neutral,Ninja Van,TH
Wait,1,Neutral,Ninja Van,TH
2-Mar,1,Neutral,Ninja Van,TH
item.,1,Neutral,Ninja Van,TH
"sooner,",1,Neutral,Ninja Van,TH
Broken,1,Negative,Ninja Van,TH
because,1,Neutral,Ninja Van,TH
box,1,Neutral,Ninja Van,TH
slightly,1,Neutral,Ninja Van,TH
bothered.,1,Negative,Ninja Van,TH
Monday's,1,Neutral,Ninja Van,TH
order,1,Neutral,Ninja Van,TH
Wednesday,1,Neutral,Ninja Van,TH
"afternoon,",1,Neutral,Ninja Van,TH
three,1,Neutral,Ninja Van,TH
received.,1,Neutral,Ninja Van,TH
At,1,Neutral,Ninja Van,TH
"first,",1,Neutral,Ninja Van,TH
worried,1,Negative,Ninja Van,TH
getting,1,Neutral,Ninja Van,TH
things,1,Neutral,Ninja Van,TH
slowly,1,Neutral,Ninja Van,TH
normally,1,Neutral,Ninja Van,TH
per,1,Neutral,Ninja Van,TH
standard,1,Neutral,Ninja Van,TH
😸,1,Positive,Ninja Van,TH
returned,1,Neutral,Ninja Van,TH
"itself,",1,Neutral,Ninja Van,TH
claiming,1,Neutral,Ninja Van,TH
address,1,Neutral,Ninja Van,TH
confused,1,Negative,Ninja Van,TH
many,1,Neutral,Ninja Van,TH
times,1,Neutral,Ninja Van,TH
Take,1,Neutral,Ninja Van,TH
your,1,Neutral,Ninja Van,TH
convenience.,1,Neutral,Ninja Van,TH
Postpone,1,Negative,Ninja Van,TH
"date,",1,Neutral,Ninja Van,TH
time,1,Neutral,Ninja Van,TH
appointment.,1,Neutral,Ninja Van,TH
Appointment,1,Neutral,Ninja Van,TH
afternoon,1,Neutral,Ninja Van,TH
Come,1,Neutral,Ninja Van,TH
five,1,Neutral,Ninja Van,TH
