,level_0,index,rating,caption,middle,reviews
12,12,12,1.0,"Pengiriman super lama parah banget dari jumat siang di input, barang sampe bandung sabtu subuh jam 5 malah dikirim kurir hari minggu jam 7 pagi dan belon sampe sampe siang ini, kerjaan jadi ngegantung karena paket sparepart belon keterima",,"Pengiriman super lama parah banget dari jumat siang di input, barang sampe bandung sabtu subuh jam 5 malah dikirim kurir hari minggu jam 7 pagi dan belon sampe sampe siang ini, kerjaan jadi ngegantung karena paket sparepart belon keterima"
13,13,13,1.0,"(Translated by Google) VERY BAD.... IF I CAN CHOOSE A MINUS MINUS STAR VALUE, I WILL CHOOSE MINUS 5 STARS …"," VERY BAD.... IF I CAN CHOOSE A MINUS MINUS STAR VALUE, I WILL CHOOSE MINUS 5 STARS …"," VERY BAD.... IF I CAN CHOOSE A MINUS MINUS STAR VALUE, I WILL CHOOSE MINUS 5 STARS …"
14,14,14,1.0,"(Translated by Google) It's better to just delete the courier expedition from Shopee, it's a shame the customer is disappointed. …"," It's better to just delete the courier expedition from Shopee, it's a shame the customer is disappointed. …"," It's better to just delete the courier expedition from Shopee, it's a shame the customer is disappointed. …"
15,15,15,1.0,"(Translated by Google) The worst shipping service expedition in the archipelago, the delivery is very durable like being pounded on the first night, the courier doesn't have an attitude, doesn't excuse me / doesn't scream, the package goes …"," The worst shipping service expedition in the archipelago, the delivery is very durable like being pounded on the first night, the courier doesn't have an attitude, doesn't excuse me / doesn't scream, the package goes …"," The worst shipping service expedition in the archipelago, the delivery is very durable like being pounded on the first night, the courier doesn't have an attitude, doesn't excuse me / doesn't scream, the package goes …"
16,16,16,3.0,,,nan
17,17,17,1.0,"Sdh hari ke-3 diterima kurir tp gak nyampe2 k alamat yg dituju. Hari pertama gagal dg alasan penerima tdk bs dihubungi, pdhal gak ad yg menghubungi sy. Alasan ngasal nih! Biasanya kurir dg jasa ekspedisi lain sllu WA sy jika diperlukan. …",,"Sdh hari ke-3 diterima kurir tp gak nyampe2 k alamat yg dituju. Hari pertama gagal dg alasan penerima tdk bs dihubungi, pdhal gak ad yg menghubungi sy. Alasan ngasal nih! Biasanya kurir dg jasa ekspedisi lain sllu WA sy jika diperlukan. …"
18,18,18,1.0,"(Translated by Google) The status has been received, even though the item has not been received, the photo evidence is the courier's own hand. Haixx..... Bad x shopee courier,..... …"," The status has been received, even though the item has not been received, the photo evidence is the courier's own hand. Haixx..... Bad x shopee courier,..... …"," The status has been received, even though the item has not been received, the photo evidence is the courier's own hand. Haixx..... Bad x shopee courier,..... …"
19,19,19,1.0,"(Translated by Google) I'm really lazy with this shopee express, if you forget, don't replace the one you ordered, you won't want to use shopee express again Messy long delivery, the courier who dropped the point was lazy to pick up on …"," I'm really lazy with this shopee express, if you forget, don't replace the one you ordered, you won't want to use shopee express again Messy long delivery, the courier who dropped the point was lazy to pick up on …"," I'm really lazy with this shopee express, if you forget, don't replace the one you ordered, you won't want to use shopee express again Messy long delivery, the courier who dropped the point was lazy to pick up on …"
20,20,20,4.0,"(Translated by Google) This receipt number is SPXID023038951142, please send it, I want to use it, it's not sent …"," This receipt number is SPXID023038951142, please send it, I want to use it, it's not sent …"," This receipt number is SPXID023038951142, please send it, I want to use it, it's not sent …"
21,21,21,3.0,"(Translated by Google) I'm not used to knowing that shopee exspress misses this cake, hadeuhhhh …"," I'm not used to knowing that shopee exspress misses this cake, hadeuhhhh …"," I'm not used to knowing that shopee exspress misses this cake, hadeuhhhh …"
22,22,22,5.0,(Translated by Google) Great 👍👍  (Original) Mantappp👍👍, Great 👍👍  (Original, Great 👍👍  
23,23,23,1.0,(Translated by Google) It's been 2 days the package is in the courier but the package is not sent to the destination. …, It's been 2 days the package is in the courier but the package is not sent to the destination. …, It's been 2 days the package is in the courier but the package is not sent to the destination. …
24,24,24,1.0,"(Translated by Google) It's been almost a week the item is stuck here, really annoyed …"," It's been almost a week the item is stuck here, really annoyed …"," It's been almost a week the item is stuck here, really annoyed …"
25,25,25,3.0,,,nan
26,26,26,1.0,"(Translated by Google) It's been a long time, it's been stored for a long time, sent to the address or not, tired of shopping at shopee …"," It's been a long time, it's been stored for a long time, sent to the address or not, tired of shopping at shopee …"," It's been a long time, it's been stored for a long time, sent to the address or not, tired of shopping at shopee …"
27,27,27,1.0,(Translated by Google) Very long stupid courier  (Original) Lila pisan kurir tolol, Very long stupid courier  (Original, Very long stupid courier  
28,28,28,1.0,"(Translated by Google) The courier wasn't very polite, he swore at his attitude, just playing sneaking into the house, even though the terrace of the house was really new, where the shoes were dirty!!! Even though once you call ""package"" …"," The courier wasn't very polite, he swore at his attitude, just playing sneaking into the house, even though the terrace of the house was really new, where the shoes were dirty!!! Even though once you call ""package"" …"," The courier wasn't very polite, he swore at his attitude, just playing sneaking into the house, even though the terrace of the house was really new, where the shoes were dirty!!! Even though once you call ""package"" …"
29,29,29,1.0,"(Translated by Google) Please include the branch office's phone/whatsapp number so I can ask for the courier number because the courier didn't confirm/call, because the information I have received myself is in fact there is no package at …"," Please include the branch office's phone/whatsapp number so I can ask for the courier number because the courier didn't confirm/call, because the information I have received myself is in fact there is no package at …"," Please include the branch office's phone/whatsapp number so I can ask for the courier number because the courier didn't confirm/call, because the information I have received myself is in fact there is no package at …"
30,30,30,1.0,,,nan
31,31,31,1.0,,,nan
32,32,32,1.0,(Translated by Google) Packages for playing Taro at people's homes just like that. …, Packages for playing Taro at people's homes just like that. …, Packages for playing Taro at people's homes just like that. …
33,33,33,1.0,"(Translated by Google) What's this, my package for three days is stuck here, it's a bitch …"," What's this, my package for three days is stuck here, it's a bitch …"," What's this, my package for three days is stuck here, it's a bitch …"
34,34,34,1.0,(Translated by Google) Missing photo. Where do you put your goods? It's crazy that this is the greatest expedition. …, Missing photo. Where do you put your goods? It's crazy that this is the greatest expedition. …, Missing photo. Where do you put your goods? It's crazy that this is the greatest expedition. …
35,35,35,1.0,Bad service.,,Bad service.
36,36,36,1.0,,,nan
37,37,37,1.0,(Translated by Google) For delivery too long. Please fix.  (Original) …, For delivery too long. Please fix.  (Original, For delivery too long. Please fix.  
38,38,38,1.0,"(Translated by Google) SPXID023939187332 My package has been 5 days and it hasn't arrived, how is it …"," SPXID023939187332 My package has been 5 days and it hasn't arrived, how is it …"," SPXID023939187332 My package has been 5 days and it hasn't arrived, how is it …"
39,39,39,5.0,,,nan
40,40,40,2.0,"(Translated by Google) The experience of using Shopee Express services is getting more and more unpleasant. When I lived in Cicadas, my COD package was returned to the seller without my telephone/WA courier during the delivery process. I …"," The experience of using Shopee Express services is getting more and more unpleasant. When I lived in Cicadas, my COD package was returned to the seller without my telephone/WA courier during the delivery process. I …"," The experience of using Shopee Express services is getting more and more unpleasant. When I lived in Cicadas, my COD package was returned to the seller without my telephone/WA courier during the delivery process. I …"
41,41,41,1.0,(Translated by Google) Tired of using this expedition!!!  (Original) kapok pake ekspedisi ini !!!, Tired of using this expedition!!!  (Original, Tired of using this expedition!!!  
42,42,42,2.0,(Translated by Google) My package has been 9 days and there is no movement to be sent from Bandung to Palangkaraya Is the courier sane or crazy …, My package has been 9 days and there is no movement to be sent from Bandung to Palangkaraya Is the courier sane or crazy …, My package has been 9 days and there is no movement to be sent from Bandung to Palangkaraya Is the courier sane or crazy …
43,43,43,5.0,,,nan
44,44,44,1.0,"(Translated by Google) the most ruined expedition, the courier was asked clearly and not friendly #BAD ATTITUDE …"," the most ruined expedition, the courier was asked clearly and not friendly #BAD ATTITUDE …"," the most ruined expedition, the courier was asked clearly and not friendly #BAD ATTITUDE …"
45,45,45,1.0,"(Translated by Google) The courier is not polite, there is no attitude. Just send a package to play and throw it.. try giving Willy the SP …"," The courier is not polite, there is no attitude. Just send a package to play and throw it.. try giving Willy the SP …"," The courier is not polite, there is no attitude. Just send a package to play and throw it.. try giving Willy the SP …"
46,46,46,5.0,(Translated by Google) So far it doesn't disappoint  (Original) Selama ini tidak mengecewakan, So far it doesn't disappoint  (Original, So far it doesn't disappoint  
47,47,47,1.0,(Translated by Google) CRAZY  (Original) GILA, CRAZY  (Original, CRAZY  
48,48,48,1.0,,,nan
49,49,49,5.0,,,nan
50,50,50,5.0,"(Translated by Google) Why are the reviews all negative, huh... I've been using Shopee Express for a long time... Maybe negative feedback from foam consumers is used as input/feed for Shopee Express KDP. Can be fixed.. …"," Why are the reviews all negative, huh... I've been using Shopee Express for a long time... Maybe negative feedback from foam consumers is used as input/feed for Shopee Express KDP. Can be fixed.. …"," Why are the reviews all negative, huh... I've been using Shopee Express for a long time... Maybe negative feedback from foam consumers is used as input/feed for Shopee Express KDP. Can be fixed.. …"
51,51,51,1.0,"(Translated by Google) How is Shopee Express's responsibility for the item's status in the apk, the item has been received, but the item hasn't arrived, the courier's name is Tatawan, the person is songong, I hope there will be action from …"," How is Shopee Express's responsibility for the item's status in the apk, the item has been received, but the item hasn't arrived, the courier's name is Tatawan, the person is songong, I hope there will be action from …"," How is Shopee Express's responsibility for the item's status in the apk, the item has been received, but the item hasn't arrived, the courier's name is Tatawan, the person is songong, I hope there will be action from …"
52,52,52,5.0,,,nan
53,53,53,1.0,(Translated by Google) Wow!!! My package from Bandung to Makassar has not been sent yet. Why did you keep it there for so long? Njirr really regrets using this useless expedition. This is my first and last time using shopee express bgst …, Wow!!! My package from Bandung to Makassar has not been sent yet. Why did you keep it there for so long? Njirr really regrets using this useless expedition. This is my first and last time using shopee express bgst …, Wow!!! My package from Bandung to Makassar has not been sent yet. Why did you keep it there for so long? Njirr really regrets using this useless expedition. This is my first and last time using shopee express bgst …
54,54,54,1.0,"(Translated by Google) The courier didn't know where to send it to the office address, I don't know where it was sent. It was received by Mr. Agus, clearly at the location, there is no such thing as Agus …"," The courier didn't know where to send it to the office address, I don't know where it was sent. It was received by Mr. Agus, clearly at the location, there is no such thing as Agus …"," The courier didn't know where to send it to the office address, I don't know where it was sent. It was received by Mr. Agus, clearly at the location, there is no such thing as Agus …"
55,55,55,1.0,"(Translated by Google) The item has not arrived home, the status has been returned to the sender because the delivery attempt failed …"," The item has not arrived home, the status has been returned to the sender because the delivery attempt failed …"," The item has not arrived home, the status has been returned to the sender because the delivery attempt failed …"
56,56,56,5.0,"(Translated by Google) Looking for a shopee express hub in Bandung, I found out that I saw this assessment post, which the majority of it contained, was disappointed. So it's great to want to join in the comments, because my experience so …"," Looking for a shopee express hub in Bandung, I found out that I saw this assessment post, which the majority of it contained, was disappointed. So it's great to want to join in the comments, because my experience so …"," Looking for a shopee express hub in Bandung, I found out that I saw this assessment post, which the majority of it contained, was disappointed. So it's great to want to join in the comments, because my experience so …"
57,57,57,1.0,,,nan
58,58,58,1.0,"(Translated by Google) The attempted package delivery was postponed due to insufficient time. Just like that, it's been 2 times. …"," The attempted package delivery was postponed due to insufficient time. Just like that, it's been 2 times. …"," The attempted package delivery was postponed due to insufficient time. Just like that, it's been 2 times. …"
59,59,59,1.0,,,nan
60,60,60,1.0,"(Translated by Google) How does this work, how many days hasn't it arrived"", it should have arrived since Thursday, but I've been waiting for it ""until Sunday, the item hasn't arrived yet. What is this responsibility? …"," How does this work, how many days hasn't it arrived"", it should have arrived since Thursday, but I've been waiting for it ""until Sunday, the item hasn't arrived yet. What is this responsibility? …"," How does this work, how many days hasn't it arrived"", it should have arrived since Thursday, but I've been waiting for it ""until Sunday, the item hasn't arrived yet. What is this responsibility? …"
61,61,61,1.0,(Translated by Google) Why the aing package has not come is also just  (Original) …, Why the aing package has not come is also just  (Original, Why the aing package has not come is also just  
62,62,62,1.0,(Translated by Google) It is not my intention to work  (Original) Teu niat gawe mah ulah, It is not my intention to work  (Original, It is not my intention to work  
63,63,63,3.0,(Translated by Google) Just tried shopping with shopee. the champion has waited a long time for the package. …, Just tried shopping with shopee. the champion has waited a long time for the package. …, Just tried shopping with shopee. the champion has waited a long time for the package. …
64,64,64,5.0,,,nan
65,65,65,1.0,"(Translated by Google) TODAY DECEMBER 8, 2021  Where is my package?! It hasn't arrived yet! Until now December 8th! It's …"," TODAY DECEMBER 8, 2021  Where is my package?! It hasn't arrived yet! Until now December 8th! It's …"," TODAY DECEMBER 8, 2021  Where is my package?! It hasn't arrived yet! Until now December 8th! It's …"
66,66,66,4.0,,,nan
67,67,67,5.0,,,nan
68,68,68,1.0,"(Translated by Google) The delivery was very slow.. there was a shopee customer service asking where the warehouse was, I couldn't tell.. the package in the description is being sorted and it's not clear... I want to use mine today. I'll be …"," The delivery was very slow.. there was a shopee customer service asking where the warehouse was, I couldn't tell.. the package in the description is being sorted and it's not clear... I want to use mine today. I'll be …"," The delivery was very slow.. there was a shopee customer service asking where the warehouse was, I couldn't tell.. the package in the description is being sorted and it's not clear... I want to use mine today. I'll be …"
69,69,69,5.0,,,nan
70,70,70,1.0,"(Translated by Google) There's no contact number, my package didn't arrive until the 3rd time, it's like this, please give me the web number, if it's not in a rush, I want to take the package, it's someone's order …"," There's no contact number, my package didn't arrive until the 3rd time, it's like this, please give me the web number, if it's not in a rush, I want to take the package, it's someone's order …"," There's no contact number, my package didn't arrive until the 3rd time, it's like this, please give me the web number, if it's not in a rush, I want to take the package, it's someone's order …"
71,71,71,1.0,,,nan
72,72,72,1.0,"(Translated by Google) My item hasn't arrived this week, the delivery status is like that, it was sent to my location but it didn't arrive until late at night, even though it was delayed because there wasn't enough time, yesterday was the …"," My item hasn't arrived this week, the delivery status is like that, it was sent to my location but it didn't arrive until late at night, even though it was delayed because there wasn't enough time, yesterday was the …"," My item hasn't arrived this week, the delivery status is like that, it was sent to my location but it didn't arrive until late at night, even though it was delayed because there wasn't enough time, yesterday was the …"
73,73,73,1.0,(Translated by Google) No need to use reviews... Other people's reviews are representative.... …, No need to use reviews... Other people's reviews are representative.... …, No need to use reviews... Other people's reviews are representative.... …
74,74,74,1.0,"(Translated by Google) It's been so long, it's been 2 times like this and the package arrived in 2 weeks, it's really worse than estimated :( …"," It's been so long, it's been 2 times like this and the package arrived in 2 weeks, it's really worse than estimated :( …"," It's been so long, it's been 2 times like this and the package arrived in 2 weeks, it's really worse than estimated :"
75,75,75,1.0,"(Translated by Google) Basically, I don't believe in shopee expeditions anymore  (Original) …"," Basically, I don't believe in shopee expeditions anymore  (Original"," Basically, I don't believe in shopee expeditions anymore  "
76,76,76,5.0,,,nan
77,77,77,1.0,"(Translated by Google) It's not clear if the package is not delivered, then there's no contact number, it's different from the neighbors, if there's a problem, it's easy to complain. …"," It's not clear if the package is not delivered, then there's no contact number, it's different from the neighbors, if there's a problem, it's easy to complain. …"," It's not clear if the package is not delivered, then there's no contact number, it's different from the neighbors, if there's a problem, it's easy to complain. …"
78,78,78,1.0,(Translated by Google) It's been a long time and it's not really slow!!!  (Original) Lama anj slow ga banget!!!, It's been a long time and it's not really slow!!!  (Original, It's been a long time and it's not really slow!!!  
79,79,79,1.0,(Translated by Google) Please be professional like other couriers... the delivery exceeded the estimate.. I've been disappointed several times.. if there's no change... we can leave it. …, Please be professional like other couriers... the delivery exceeded the estimate.. I've been disappointed several times.. if there's no change... we can leave it. …, Please be professional like other couriers... the delivery exceeded the estimate.. I've been disappointed several times.. if there's no change... we can leave it. …
80,80,80,1.0,"(Translated by Google) Very bad, shipping took so long  (Original) …"," Very bad, shipping took so long  (Original"," Very bad, shipping took so long  "
81,81,81,5.0,,,nan
82,82,82,1.0,,,nan
83,83,83,2.0,,,nan
84,84,84,1.0,"(Translated by Google) From the shopee application, at 07 in the morning it was sent by the courier but until now it hasn't come, it's not like other couriers …"," From the shopee application, at 07 in the morning it was sent by the courier but until now it hasn't come, it's not like other couriers …"," From the shopee application, at 07 in the morning it was sent by the courier but until now it hasn't come, it's not like other couriers …"
85,85,85,1.0,(Translated by Google) The package hasn't arrived yet  (Original) Paket belum nyampe sampe skrg, The package hasn't arrived yet  (Original, The package hasn't arrived yet  
86,86,86,1.0,(Translated by Google) Just disband an expedition like this. It's a lot of loss. Items don't come bad …, Just disband an expedition like this. It's a lot of loss. Items don't come bad …, Just disband an expedition like this. It's a lot of loss. Items don't come bad …
87,87,87,1.0,"(Translated by Google) This delivery is so bad, how long does it take for the status to arrive in one place until three hearts don't move and it's arrived now, it hasn't arrived …"," This delivery is so bad, how long does it take for the status to arrive in one place until three hearts don't move and it's arrived now, it hasn't arrived …"," This delivery is so bad, how long does it take for the status to arrive in one place until three hearts don't move and it's arrived now, it hasn't arrived …"
88,88,88,5.0,,,nan
89,89,89,1.0,(Translated by Google) Just keep going back to the warehouse.  (Original) …, Just keep going back to the warehouse.  (Original, Just keep going back to the warehouse.  
90,90,90,1.0,"(Translated by Google) Very bad experience, this is the first time there is a courier who doesn't know the address, until late at night he calls with impolite language and a high tone, also ordered me to take the package to the road at …"," Very bad experience, this is the first time there is a courier who doesn't know the address, until late at night he calls with impolite language and a high tone, also ordered me to take the package to the road at …"," Very bad experience, this is the first time there is a courier who doesn't know the address, until late at night he calls with impolite language and a high tone, also ordered me to take the package to the road at …"
91,91,91,1.0,"(Translated by Google) Bad service, it's been a long time waiting for my package …"," Bad service, it's been a long time waiting for my package …"," Bad service, it's been a long time waiting for my package …"
92,92,92,1.0,"(Translated by Google) Where's my package, why didn't it arrive :((  (Original) …"," Where's my package, why didn't it arrive :((  (Original"," Where's my package, why didn't it arrive :"
93,93,93,5.0,(Translated by Google) Open all night  (Original) Buka terus sampai malam, Open all night  (Original, Open all night  
94,94,94,5.0,"(Translated by Google) At first I had doubts and was worried because I saw the rating, but thank God it arrived on time.. The package was safe.. :D Continue to improve, yes, because there are still buyers who are not satisfied.. …"," At first I had doubts and was worried because I saw the rating, but thank God it arrived on time.. The package was safe.. :D Continue to improve, yes, because there are still buyers who are not satisfied.. …"," At first I had doubts and was worried because I saw the rating, but thank God it arrived on time.. The package was safe.. :D Continue to improve, yes, because there are still buyers who are not satisfied.. …"
95,95,95,5.0,(Translated by Google) Quiet  (Original) Sepi, Quiet  (Original, Quiet  
96,96,96,1.0,(Translated by Google) Slow delivery  (Original) Pengiriman lambat, Slow delivery  (Original, Slow delivery  
97,97,97,1.0,"(Translated by Google) to the courier who sent the package to the river, please return it back,,, I paid for cod but you were given a refund, I paid 52000, while the cod package was only 21000 …"," to the courier who sent the package to the river, please return it back,,, I paid for cod but you were given a refund, I paid 52000, while the cod package was only 21000 …"," to the courier who sent the package to the river, please return it back,,, I paid for cod but you were given a refund, I paid 52000, while the cod package was only 21000 …"
98,98,98,1.0,"(Translated by Google) My item's status has arrived at 22.19, when there is an delivery for the package at that hour, stupid, I've been at home until late at night, no one knocks on the door, this is stupid management or the courier is a …"," My item's status has arrived at 22.19, when there is an delivery for the package at that hour, stupid, I've been at home until late at night, no one knocks on the door, this is stupid management or the courier is a …"," My item's status has arrived at 22.19, when there is an delivery for the package at that hour, stupid, I've been at home until late at night, no one knocks on the door, this is stupid management or the courier is a …"
99,99,99,1.0,(Translated by Google) It took so long to send from the warehouse  (Original) …, It took so long to send from the warehouse  (Original, It took so long to send from the warehouse  
100,100,100,1.0,(Translated by Google) It turns out that many like me always pass the delivery estimate and are considered to have been received by the recipient. Why are so many complaining but still standing on this expedition huh? …, It turns out that many like me always pass the delivery estimate and are considered to have been received by the recipient. Why are so many complaining but still standing on this expedition huh? …, It turns out that many like me always pass the delivery estimate and are considered to have been received by the recipient. Why are so many complaining but still standing on this expedition huh? …
101,101,101,1.0,"(Translated by Google) REALLY BAD service. Every time there is a problem, CS never responds. even if it is answered it can take a very long time and be TRANSPORTED TO OTHER DEPARTMENT. really good shopee express. Lost items have no …"," REALLY BAD service. Every time there is a problem, CS never responds. even if it is answered it can take a very long time and be TRANSPORTED TO OTHER DEPARTMENT. really good shopee express. Lost items have no …"," REALLY BAD service. Every time there is a problem, CS never responds. even if it is answered it can take a very long time and be TRANSPORTED TO OTHER DEPARTMENT. really good shopee express. Lost items have no …"
102,102,102,1.0,"(Translated by Google) My package didn't arrive. It's really the courier, while the other packages have arrived first …"," My package didn't arrive. It's really the courier, while the other packages have arrived first …"," My package didn't arrive. It's really the courier, while the other packages have arrived first …"
103,103,103,5.0,,,nan
104,104,104,1.0,,,nan
105,105,105,1.0,"(Translated by Google) WORST eexpedition. where's my package???? pke said it was received. have you received the name, what's the name??? why didn't the phone call confirm my item arrived??? I messed up the photo, where did you put the …"," WORST eexpedition. where's my package???? pke said it was received. have you received the name, what's the name??? why didn't the phone call confirm my item arrived??? I messed up the photo, where did you put the …"," WORST eexpedition. where's my package???? pke said it was received. have you received the name, what's the name??? why didn't the phone call confirm my item arrived??? I messed up the photo, where did you put the …"
106,106,106,1.0,(Translated by Google) Always slow. Always disappointing  (Original) …, Always slow. Always disappointing  (Original, Always slow. Always disappointing  
107,107,107,1.0,"(Translated by Google) The package is stuck in the warehouse instead of being delivered right away, strange So you have to wait a long time, the regular period takes 3 days, that's right …"," The package is stuck in the warehouse instead of being delivered right away, strange So you have to wait a long time, the regular period takes 3 days, that's right …"," The package is stuck in the warehouse instead of being delivered right away, strange So you have to wait a long time, the regular period takes 3 days, that's right …"
108,108,108,1.0,,,nan
109,109,109,5.0,,,nan
110,110,110,1.0,"(Translated by Google) Sluggish, tired  (Original) Lelet, kapok"," Sluggish, tired  (Original"," Sluggish, tired  "
111,111,111,1.0,"(Translated by Google) It's bad that my package has been received on the receipt, even though I haven't. Courier has not confirmed delivery …"," It's bad that my package has been received on the receipt, even though I haven't. Courier has not confirmed delivery …"," It's bad that my package has been received on the receipt, even though I haven't. Courier has not confirmed delivery …"
112,112,112,1.0,,,nan
113,113,113,1.0,,,nan
114,114,114,1.0,"(Translated by Google) Excuse me, how come the item is almost past the estimated delivery date but it hasn't arrived yet, what's the problem? Has this service been closed? …"," Excuse me, how come the item is almost past the estimated delivery date but it hasn't arrived yet, what's the problem? Has this service been closed? …"," Excuse me, how come the item is almost past the estimated delivery date but it hasn't arrived yet, what's the problem? Has this service been closed? …"
115,115,115,1.0,(Translated by Google) The package is being delivered but it hasn't arrived yet it's really weird …, The package is being delivered but it hasn't arrived yet it's really weird …, The package is being delivered but it hasn't arrived yet it's really weird …
116,116,116,1.0,(Translated by Google) The package delivery took too long..  (Original) …, The package delivery took too long..  (Original, The package delivery took too long..  
117,117,117,1.0,,,nan
118,118,118,1.0,"(Translated by Google) VERY SORRY COURIER, DO NOT RECOMMEND. FROM OCTOBER 13 AT 9 NIGHT IT IS CONSIDERED THE GOODS ARE DELIVERED, PDHL I AM D RMH AND DOES NOT ACCEPT EVEN THERE IS NO DTG. UNTIL THIS SECOND I HAVE NOT RECEIVED THE ITEM TSB. …"," VERY SORRY COURIER, DO NOT RECOMMEND. FROM OCTOBER 13 AT 9 NIGHT IT IS CONSIDERED THE GOODS ARE DELIVERED, PDHL I AM D RMH AND DOES NOT ACCEPT EVEN THERE IS NO DTG. UNTIL THIS SECOND I HAVE NOT RECEIVED THE ITEM TSB. …"," VERY SORRY COURIER, DO NOT RECOMMEND. FROM OCTOBER 13 AT 9 NIGHT IT IS CONSIDERED THE GOODS ARE DELIVERED, PDHL I AM D RMH AND DOES NOT ACCEPT EVEN THERE IS NO DTG. UNTIL THIS SECOND I HAVE NOT RECEIVED THE ITEM TSB. …"
119,119,119,1.0,(Translated by Google) Where's my stuff!!! He said it had arrived but I and the people around the house didn't receive it!!!! HORRIBLE SERVICE …, Where's my stuff!!! He said it had arrived but I and the people around the house didn't receive it!!!! HORRIBLE SERVICE …, Where's my stuff!!! He said it had arrived but I and the people around the house didn't receive it!!!! HORRIBLE SERVICE …
120,120,120,1.0,"(Translated by Google) Sorry in advance, advice for workers and warehouse staff, work with all my heart, especially the courier, if the intention has been delivered, it should be delivered immediately, my package arrived in 5 days, the …"," Sorry in advance, advice for workers and warehouse staff, work with all my heart, especially the courier, if the intention has been delivered, it should be delivered immediately, my package arrived in 5 days, the …"," Sorry in advance, advice for workers and warehouse staff, work with all my heart, especially the courier, if the intention has been delivered, it should be delivered immediately, my package arrived in 5 days, the …"
121,121,121,1.0,"(Translated by Google) Bad service The item arrived at noon, the update was late at 20:17, I didn't even tell you the item was deposited in the office even though the item was waiting for it, At least let me know via Whatsapp Chat that the …"," Bad service The item arrived at noon, the update was late at 20:17, I didn't even tell you the item was deposited in the office even though the item was waiting for it, At least let me know via Whatsapp Chat that the …"," Bad service The item arrived at noon, the update was late at 20:17, I didn't even tell you the item was deposited in the office even though the item was waiting for it, At least let me know via Whatsapp Chat that the …"
122,122,122,1.0,"(Translated by Google) The delivery took so long, even though my house is close, it's been on hold since yesterday …"," The delivery took so long, even though my house is close, it's been on hold since yesterday …"," The delivery took so long, even though my house is close, it's been on hold since yesterday …"
123,123,123,1.0,"(Translated by Google) The name is just express, it's actually LELET!!  (Original) …"," The name is just express, it's actually LELET!!  (Original"," The name is just express, it's actually LELET!!  "
124,124,124,1.0,(Translated by Google) VERY BAD COURIER  (Original) KURIR BURUK SEKALI, VERY BAD COURIER  (Original, VERY BAD COURIER  
125,125,125,1.0,(Translated by Google) It's been a long time the package has been 3 days still in Bandung …, It's been a long time the package has been 3 days still in Bandung …, It's been a long time the package has been 3 days still in Bandung …
126,126,126,1.0,"(Translated by Google) The package didn't come to the right address, 2 times the package got lost even though the address was complete …"," The package didn't come to the right address, 2 times the package got lost even though the address was complete …"," The package didn't come to the right address, 2 times the package got lost even though the address was complete …"
